message,rpid_str,parent,ctime,like,mid,sex
不要慌[doge]战术性调整,201560623600,0,1704287753,2,389492709,男
美国海军陆战一师师长奥利弗·普林斯·史密斯：“我们不是在撤退，只是换了个方向前进。”[doge],201478001360,0,1704249638,27,497025789,保密
北部都要打完了，当然撤出了。[吃瓜],201450978416,0,1704216746,15,525651113,保密
[呲牙],201452402144,201450978416,1704217934,2,5829615,保密
哈哈哈哈😂,201454641616,201450978416,1704220163,3,317660400,保密
什么撤退，人家这叫战略转进[doge],201456159072,201450978416,1704222539,8,122603213,男
[吃瓜]打完了，你这话怎么看都没毛病,201461450304,201450978416,1704235659,5,436925632,保密
确实打完了[doge]哈马斯又刷大火箭了。,201461540672,201450978416,1704235962,7,1640941,保密
北部打完鸡儿了[吃瓜]老乡有地道，最新的视频还看见防水门了，北线每天都损失7辆载具四十多人,201461822176,201450978416,1704236741,5,1863280271,保密
对对对[吃瓜],201465101664,201450978416,1704240923,2,80863078,保密
我们欢迎这种打完了，多多益善[doge],201465342592,201450978416,1704241174,2,602089758,保密
回复 @VUP单推协会-皮蛋 :麦克阿瑟：这个我熟[doge],201466078912,201456159072,1704241831,1,8895485,保密
回复 @硬胶电台钢筋剪 :不会段句，打     完了,201466370880,201461822176,1704242064,0,1398156512,保密
