title,aid,link,createtime,desc,ownertoken,like,coin,reply,share,favorite,view,danmaku
中东撤军行动中止！拜登再度推翻特朗普”遗产“，不从阿富汗离开,714115234,https://www.bilibili.com/video/BV15X4y157AJ,1612583410,中东撤军行动中止！拜登再度推翻特朗普”遗产“，不从阿富汗离开,689237006,520,23,94,8,48,21164,15
不打了！普京承诺不开战，俄罗斯开始部分撤军，美欧彻底被打脸,381516590,https://www.bilibili.com/video/BV1YZ4y1R72t,1644978174,不打了！普京承诺不开战，俄罗斯开始部分撤军，美欧彻底被打脸,1797916362,1439,13,647,108,416,155350,112
拜登或推翻特朗普撤军令,543933710,https://www.bilibili.com/video/BV1fv4y1f72o,1611902853,当地时间27日，美国新任国防部长奥斯汀与德国防长卡伦鲍尔通话感谢德方接纳美驻军，引发美总统拜登可能推翻特朗普“撤军令”的猜测。路透社报道，美新防长重新审视美军全球部署，包括时任总统特朗普去年下达的撤军令。（央视军事）,189866857,1365,7,64,9,19,9754,5
美军宣布从德国撤军约1.2万人,669071843,https://www.bilibili.com/video/BV1Fa4y1J79r,1596084989,美国防长埃斯珀29日表示，美军计划从德国撤军约1.2万人，美军欧洲司令部也将从德国斯图加特撤出，迁至比利时。美军未来还计划将陆军第五军新建指挥部轮调至波兰。今年重启的第五军主要目标之一就是加强美军在欧洲行动能力。（央视军事 ）,189866857,1455,3,153,21,50,16142,21
拜登称撤军计划继续，爆炸发生后，共和党人要求拜登辞职,377549815,https://www.bilibili.com/video/BV1Uf4y1P7Ps,1630024508,,483787858,760,2,53,4,11,7742,9
【SNL】川普，怂俄罗斯怂到撤军乌克兰为止,725244251,https://www.bilibili.com/video/BV1LS4y1m7hM,1648443840,-,1189837641,366,10,64,48,257,37396,42
打不过就撤军的曹操,787567810,https://www.bilibili.com/video/BV1u14y117A6,1692775571,禁止@想风就追风  观看本视频,1553442153,5,0,0,0,2,224,0
中印边境撤军内幕曝光，解放军靠实力碾压印军，99A坦克大放光彩,246679318,https://www.bilibili.com/video/BV1Bv411a7sD,1613574708,中印边境撤军内幕曝光，解放军靠实力碾压印军，99A坦克大放光彩,306863985,4888,278,857,635,589,146551,396
五角大楼：目前没计划从伊拉克撤军,241059994,https://www.bilibili.com/video/BV1me411e7w8,1704879622,,1117885814,1,0,0,0,0,13,0
真实揭露美军撤军后，阿富汗国民军最后的8个月！纪录片《撤退》（二）,352625819,https://www.bilibili.com/video/BV1YX4y1Q72m,1677563930,-,477020574,5391,46,115,9,329,248953,55
两版诸葛亮设空城计，旧版孔明紧张冒汗，新版撤军后泪流满面,275704074,https://www.bilibili.com/video/BV1uF411r7cJ,1693921514,-,3461572684941415,519,26,442,13,23,62737,405
看看现实美国撤军阿富汗，再看看这些游戏里塑造的美军。真是个笑话！把自己臆想的这么好。,505010758,https://www.bilibili.com/video/BV16g41157dH,1629813564,看看现实美国撤军阿富汗，再看看这些游戏里塑造的美军。使命召唤11里这剧情真是个笑话！把自己作恶多端的英雄梦臆想的这么好。,43719559,12,0,2,4,4,333,1
意大利何时会从埃塞俄比亚撤军,311400035,https://www.bilibili.com/video/BV11P411o7ZF,1679558629,本期针对意大利的从埃塞俄比亚撤军的决议进行了讨论喵！如果有更多希望探讨的内容可以在评论区留言喵！,11067472,937,73,106,2,64,23422,8
司马懿早已看出了空城计，为啥还要撤军？,319532484,https://www.bilibili.com/video/BV1Mw411174t,1697200063,-,3537122189379829,1,0,0,0,0,166,0
美国总统拜登：明确坚持自己的撤军决定,462410295,https://www.bilibili.com/video/BV1iL411J7pb,1629165642,当地时间8月16日，美国总统拜登就阿富汗局势发表讲话，为自己作出的从阿富汗撤军的决定辩护。,222103174,3060,17,224,22,72,31379,29
联大决议通过要求俄无条件从乌撤军，俄：联合国已无存在必要！,950053744,https://www.bilibili.com/video/BV1ps4y1j7a2,1677388728,临近俄乌冲突一周年之际，联合国大会以141：7的压倒性结果，再次通过由75国联名提出的乌克兰“和平公式”决议，要求俄罗斯从乌克兰境内立即、且无条件撤军。,284135098,11,0,17,1,0,533,0
荒唐离谱！乌克兰一盲人收到征兵通知书：难道要我去给俄军做按摩，感动他们撤军,308681247,https://www.bilibili.com/video/BV1kA411r7sY,1675339744,荒唐离谱！乌克兰一盲人收到征兵通知书：难道要我去给俄军做按摩，感动他们撤军,275267273,4,0,0,0,1,76,0
黄俄惨遭白俄大叔怒骂为疯子||普京托卢卡申科放话要撤军和谈,702429550,https://www.bilibili.com/video/BV1Em4y1H7ey,1692362105,,696823618,874,264,149,20,46,15287,136
搬运塔塔尔语歌曲，从阿富汗撤军,588348530,https://www.bilibili.com/video/BV18B4y1u7Ke,1622205839,VK,275838669,176,49,34,46,233,7613,5
果敢老街缅甸投降撤军数据,923333339,https://www.bilibili.com/video/BV1aT4y1H735,1704445229,果敢老街缅甸投降撤军数据,326207024,5,0,0,0,0,215,0
撤军!!!!!!!!,579393434,https://www.bilibili.com/video/BV1V64y157K7,1702022673,-,1932484600,1,0,1,0,1,99,0
撤军了，但是桥断了,305216737,https://www.bilibili.com/video/BV1qP411g7JG,1668680191,-,386852645,112,3,28,1,13,9152,0
首席国哥:美国和伊拉克政府商讨美军从伊拉克撤军事项！,539362567,https://www.bilibili.com/video/BV1si4y1p7gZ,1706345925,-,552642893,73,6,1,1,4,2466,1
从撤军到终幕 一命全连,393931883,https://www.bilibili.com/video/BV19d4y1n7sj,1675627039,海扁完俄帮后来不及撤退的Jake被条子抓进橘子里，且被没收了凶器双节棍，这时，接到50B内线打来的电话，他决定杀出一条血路。,38586192,44,7,8,2,6,620,3
小布什反对撤军，称为阿富汗人“心碎”,206626508,https://www.bilibili.com/video/BV1Hh41167Nu,1626436771,小布什反对撤军，称为阿富汗人“心碎”,649022917,3655,91,105,11,71,30615,129
瓦格纳已经撤军,615202387,https://www.bilibili.com/video/BV18h4y1g7nb,1687638174,-,307207032,14,0,3,1,3,1533,0
美国务卿谈从阿富汗撤军：腾出手应对中国,630210256,https://www.bilibili.com/video/BV1E84y1F7YJ,1618839986,美国国务卿布林肯18日在美国广播公司“本周”节目上称，20年过去，基地组织“已经严重退化”，恐怖主义威胁已经转移到其他地方，美国必须集中精力和资源应对对华关系等事项。,495310202,50,2,9,2,9,1054,4
就算战至最后一人，也决不能撤离飞虎山！霸气…,855399694,https://www.bilibili.com/video/BV1cL4y1w7rc,1656549058,-,1133556647,130,8,1,5,6,1818,0
俄不撤军，乌不停战,579307537,https://www.bilibili.com/video/BV1q64y1j7BM,1701738683,,81964422,1,0,0,0,0,165,0
撤军,614553480,https://www.bilibili.com/video/BV1Wh4y1G7iu,1686151809,-,3493104155888207,3,2,2,0,0,179,0
基本谈妥，俄罗斯准备撤军！美国不干了：整军备战，进入第二回合,682823917,https://www.bilibili.com/video/BV1pS4y1K7v4,1648879044,基本谈妥，俄罗斯准备撤军！美国不干了：整军备战，进入第二回合,480899301,105,2,7,3,7,4609,3
