comment,comment_time,likes,location,gender
,2023-12-25 23:58,0,其他,m
张雪峰: 为什么说生化环材是天坑,2023-12-25 23:56,2,河北,f
//:2023年你鳖互联网出了很多圣人，只有张雪峰张圣才起真正值得配享太庙的，直到今天我还记得他被押上供桌时喊的那句话——“我是来直播的，你们要干什么！”,2023-12-25 23:53,0,其他,m
,2023-12-25 23:38,0,安徽,m
从亿万家长学生膜拜张雪峰到万千大妈争当董宇辉的丈母娘，这个民族配得上他们所忧虑的一切。请看金龟婿的金句——1、内卷怎么办？那就读书，因为读书破万卷。2、没有钱怎么办？那就读书，因为书中自有黄金屋。3、没有对象怎么办？那就读书，因为书中自有颜如玉。4、气质不好怎么办？那就读书 从亿万家长学生膜拜张雪峰到万千大妈争当董宇辉的丈母娘，这个民族配得上他们所忧虑的一切。请看金龟婿的金句——1、内卷怎么办？那就读书，因为读书破万卷。2、没有钱怎么办？那就读书，因为书中自有黄金屋。3、没有对象怎么办？那就读书，因为书中自有颜如玉。4、气质不好怎么办？那就读书，因为腹有诗书气自华。5、长得矮怎么办？那就读书，因为万般皆下品，唯有读书高。,2023-12-25 23:30,2,湖北,m
关键词：张雪峰，专业选择。,2023-12-25 23:28,0,浙江,m
热搜预定,2023-12-25 23:26,1,广东,f
看了详情，感觉判的不冤，而且三年应该是强奸罪的底线吧？我觉得，这之前的报道不知道是记者哪儿找的，然后也不经过核实就发出来了误导了不少人，所以吧，我就觉得张雪峰老师说的真对另外一个，就是这女方家属的表现吧，让我觉得简直 看了详情，感觉判的不冤，而且三年应该是强奸罪的底线吧？我觉得，这之前的报道不知道是记者哪儿找的，然后也不经过核实就发出来了误导了不少人，所以吧，我就觉得张雪峰老师说的真对另外一个，就是这女方家属的表现吧，让我觉得简直就是从犯净想着怎么弄钱了，我就特纳闷儿那女的是不是你们家的孩子啊？真是简直老太太下楼梯是不服不行啊想问问大家，你怎么看？,2023-12-25 23:10,2087,北京,m
😅你们媒体真的 ,2023-12-25 23:03,1498,四川,f
张雪峰老师：考试紧张怎么办？,2023-12-25 23:02,6,北京,m
//:2023年你鳖互联网出了很多圣人，只有张雪峰张圣才起真正值得配享太庙的，直到今天我还记得他被押上供桌时喊的那句话——“我是来直播的，你们要干什么！”,2023-12-25 22:57,0,北京,f
张雪峰鄙视新闻专业的是对的，上午这新闻出来可真没说这些，很多人被媒体带跑偏了。晚上法院把详细的情况说明才知道，被这帮媒体给带节奏了 ,2023-12-25 22:43,6,北京,f
张雪峰真的很厉害👍 ,2023-12-25 22:23,0,四川,f
