id,name,description,followers_count,friends_count,statuses_count,total_cnt,location,gender,verified,verified_reason,birthday,created_at,sunshine_credit,mbrank,mbtype,company,school
6318319468,钮祜绿豆,豆豆暂住地,282670,322,3746,"20,709,401",其他,f,TRUE,娱乐博主,2002-05-20 金牛座,2017/7/15 15:21,信用较好,2,12,,
6251534126,本没有迷路,我就是坏蛋又怎么了,271480,1028,29403,"27,031,154",海外,m,TRUE,电视剧博主,1965-02-04 水瓶座,2017/5/17 15:50,信用较好,2,12,,
7203075998,想要遇见心软的考神,对不良诱惑说：快！,648,867,8201,"8,307",海外 美国,f,FALSE,,1999-03-22 白羊座,2019/6/21 16:01,信用较好,1,2,,
5625727476,茶茶不想上班,没回消息可以+lx：Pika1217_,212,554,223,"2,213",浙江 宁波,f,FALSE,,2000-08-12 狮子座,2015/6/6 17:18,信用极好,5,2,,
5615418877,KR烤肉rr,探索/毕业/开荒/深渊 vx:Krrr1215[已开秒通过],481,990,180,"2,047",广东 深圳,m,FALSE,,射手座,2016/12/24 12:11,信用较好,4,11,,
7916854426,小杜向前冲冲冲,,1,349,26,8,其他,f,FALSE,, ,2024/4/24 13:49,信用较低,0,0,,
7626514031,TF家族-张泽禹,北京时代峰峻旗下TF家族成员 张泽禹,3849707,53,404,"918,798,464",重庆,m,TRUE,北京时代峰峻旗下TF家族成员 张泽禹,2007-04-30 金牛座,2021/6/13 16:44,信用较好,6,12,,
5286147999,诅咒你们永远开心,天天开心 双随意,11450,1029,7334,"1,281,392",其他,f,TRUE,微博原创视频博主,2006-03-06 双鱼座,2014/9/7 11:23,信用一般,1,12,浪漫主义 天天开心 solo追星,
7760921692,酱酱姩糕,略略略～,30530,548,5494,"1,124,857",其他,f,TRUE,超话粉丝钻咖（丁程鑫超话）,双鱼座,2022/5/14 17:07,信用较好,4,12,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
