SpaceX「星舰」第三次试飞，达到环绕速度，重返大气层过程中失去信号，任务提前结束，有哪些看点？,gender,comments,likes,updated_time,IP
五年前的CG【SpaceX】马斯克最新发布「星舰CG」及计划，梦一步步成真_哔哩哔哩_bilibili,1,0,0,1710435627,未知
spaceX只不过是证明了一个大家都知道的事情：现代化企业运作方式对家庭作坊式公司的碾压是多么令人绝望。,0,0,1,1710435611,加拿大
看点应该还是很足的，需要相关部门详细探讨。我等看个热闹，这八字才画了一点，不着急。,0,0,0,1710435702,江苏
首先，恭喜spacex，恭喜马斯克，恭喜星舰这次测试取得重大成果不是很能想明白，为什么这么多回答和评论要对中国航天怨声载道，一顿冷嘲热讽啊，我寻思中国航天是做了什么我不知道的罪大恶极的破事吗？平常在简中互联网甚至都不敢吹中国航天，怕被人骂。而且中国的航天计划也没出现什么大的意外，都是一步步按计划来的啊，美国第一次载人航天的时候，我们还在经历被某些人心心念念的三年自然灾害。这吃饱饭才几年啊，怎么就敢厚着脸皮去和美国比航天啊星舰最后成功了，能达到所有设计标准了，再然后呢？你们觉得能走向星辰大海了，可是美国人能带着你？你就算移民也没用，你长着一张中国人的脸，建议重新投胎，没准能换一身金发碧眼和白皮。天天说中国航天宏大叙事，难道不是你们这帮人在宏大叙事吗？这还没商用呢，就开始幻想着移居地外行星了，开启工业革命了，称霸地球了,-1,0,0,1710435906,未知
建议兔子奋起直追不要看热闹楼市成交-87：2月太原、深圳房地产月报，2010-2024年太原、深圳二手房价格走势《楼市成交-86：1月天津、南京、武汉、重庆、成都、西安、青岛、长沙、广州新房月报，1-2月百强房企销售额，数据说明了什么？》2月太原新房住宅销售面积11.59w平，1-2月太原新房住宅销售面积合计24.96w平，较去年54.72w平同比下跌54.38%。1-2月百强房企操盘金额同比下跌48.8%，太原楼市成交面积与全国趋势保持一致，2023年全国主要城市新房住宅销售面积前高后低，全年略增或略减，2023年救市举措透支了2024年的社会购买力。2024年1-2月的房地产市场成交情况恰恰印证了我们关于投资者断层的判断，市场在沿着我们判断的方向进行发展，我们有信心太原二手房价格回落至8900元附近。2018年冲进太原楼市的购房者基本处于浮亏状态，2024年底，太原房价将2018年以来的进入者彻底套牢，今年便是他们止损出局的元年。2月深圳新房成交810套，二手房成交2098套，新房成交较去年有所恢复，但是整体趋势还是处于低位，并未发生反转。真正能够代表全国楼市风向标的城市是北、上、广、深？北、上、广、深已经进入到了存量房时代，其中北京、上海存在严重的限购政策，强二线城市杭州、南京、青岛、西安、成都、重庆新房住宅成交体量较大、参与人口较多、居民杠杆率较高，因此具有一定参考性。2017年冲进深圳楼市的资本基本处于浮亏状态，即进入到了楼市盈亏平衡线，一旦市场加速下行，那么将使得2015年涨价去库存的成果毁于一旦，居民财富将损失50%-70%。 ,-1,0,0,1710436001,山西
感觉不如华为...5G,-1,0,0,1710435446,山东
我对于这件事情最大的疑惑是：怎么就成为了人类星际时代的开启了？怎么就未来航海星空指日可待了？它的名字叫星舰，不等同于他真的等于科幻片里的星舰。无论是可回收，还是载重增加，还是低价燃料，这三件事没一件事可以打破人类脱离地球束缚进入星际时代吧？更何况这件事情八字还没一撇，我看周围的欢呼声仿佛是下一刻就星际旅行了。你说星舰的发展有助于推动航天市场的发展，那还有的说头。但是你往上带高帽子，什么星际时代的起点，人类文明的里程碑，全球航天事业的断崖式领先，更有甚者开始了第四次工业革命。真的过了！,-1,0,1,1710435316,天津
有没有人知道老板在哪？这次竟然没在,-1,0,0,1710435296,美国
星舰第三次发射入轨成功，​回收失败！这不是人类之光？？？​某国家连火箭回收的想法都不敢想，更别提造出星舰了，人家试验3次就入轨了，到底谁差距大啊？这才叫遥遥领先！！！！​酸马斯克？地球配吗？总不能像朝鲜天天喊口号忠诚忠诚，就能掩饰别人的强大了？差距在哪看不见还是硬要装看不见啊？,-1,0,1,1710435245,吉林
星舰失去信号，提前结束任务，这分明表示星舰又废了炸了呀！结果，好多祝贺星舰的！呵呵！啥也不是，它们就只剩下舔了！,1,16,3,1710435216,江苏
